Country,City,Latitude,Longitude,ID
Poland,Lublin,51.25,22.56667,2167
Brunei Darussalam,Bandar Seri Begawan,4.89035,114.94006,95
Ethiopia,Addis Ababa,9.02497,38.74689,162
France,Alencon,48.43476,0.09311,3583
Bosnia and Herzegovina,Sarajevo,43.84864,18.35644,13
Cambodia,Pursat,12.53878,103.9192,3652
Australia,Heywood,-38.13294,141.62949,1679
Belgium,Fexhe-Le-Haut-Clocher,50.6654,5.39978,2453
Kyrgyzstan,Osh,40.52828,72.7985,2172
Belgium,Borsbeek,51.19661,4.48543,2362
Republic of Moldova,Balti,47.76314,27.92932,1423
Australia,Eucla,-31.67694,128.88834,400
Russian Federation,Ivanovo,56.99719,40.97139,983
France,Gap,44.55858,6.07868,3533
Saudi Arabia,Sharurah,17.49083,47.11262,1891
Romania,Craiova,44.31667,23.8,2093
Malawi,Mzuzu,-11.46556,34.02071,262
China,Dali,25.58474,100.21229,1834
Belgium,Ohey,50.4357,5.12375,2684
Chad,Abeche,13.82916,20.8324,1169
Nigeria,Kano,12.00012,8.51672,2050
Mali,Sikasso,11.31755,-5.66654,131
Argentina,Buenos Aires,-34.61315,-58.37723,294
Australia,Renmark,-34.17702,140.74696,485
Oman,Sur,22.56667,59.52889,1419
Paraguay,Mariscal Jose Felix Estigarribia,-22.03389,-60.59364,1178
Denmark,Nuuk,64.18347,-51.72157,583
United States,New Jersey,40.298904,-74.521011,3829
Australia,Yulara,-25.2406,130.9889,514
Australia,Queenstown,-31.89756,26.87533,1722
French Polynesia,Hao,39.3995,-84.56134,3630
India,Minicoy,8.28899,73.0617,1608
Chile,Valparaiso,-33.036,-71.62963,2204
Australia,Collie,-33.36206,116.15617,388
Belgium,Brussels,50.85045,4.34878,191
France,Bourg-en-Bresse,46.20574,5.2258,3529
Greece,Alexandroupoli,40.84995,25.87644,2274
China,Tianjin,39.14222,117.17667,353
Zambia,Livingstone,-17.84194,25.85425,1307
Belgium,Blegny,50.67255,5.72508,2354
Estonia,Tartu,58.38062,26.72509,1927
India,Dehradun,30.32443,78.03392,1578
France,Limoges,45.83362,1.24759,3605
Belgium,Peer,51.1303,5.45952,2707
Venezuela,Temblador,9.00525,-62.64493,2065
United States,Texas,31.054487,-97.563461,3842
Viet Nam,Bình Thuận,10.9333,108.1,784
CÃ´te d'Ivoire,Odienne,9.50511,-7.56433,2881
Australia,Casterton,-37.58489,141.40297,1662
Lithuania,Panevezys,55.73186,24.35983,1549
Republic of Moldova,Tiraspol,46.84274,29.62909,1425
Belgium,Bertrix,49.85596,5.25539,2345
Mali,Kidal,18.44345,1.40921,136
India,Agartala,23.83605,91.27939,1560
Belgium,Montigny-Le-Tilleul,50.38056,4.37582,2664
Thailand,Nakhon Ratchasima,14.97066,102.10196,573
Rwanda,Rusizi,-2.2135,29.6542,1508
Belgium,Rumes,50.5545,3.30535,2741
Chad,Mongo,12.18514,18.6884,1174
Spain,Merida,20.97537,-89.61696,2188
Nigeria,Yola,9.20839,12.48146,2052
Nigeria,Abuja,9.05785,7.49508,324
Indonesia,Bengkulu,-3.80044,102.26554,2240
Australia,Young,34.10143,-110.96374,1321
Spain,Teruel,40.3456,-1.10646,1790
Chile,Iquique,-20.21326,-70.15027,102
Colombia,Sincelejo,9.30472,-75.39778,1324
Belgium,Dessel,51.23855,5.11448,2414
Australia,Kingston,17.99702,-76.79358,1684
United Republic of Tanzania,Tabora,-5.01622,32.82663,670
Cameroon,Limbe,4.02356,9.20607,3522
Belgium,Londerzeel,51.00468,4.30304,2624
Indonesia,Surakarta,-7.55611,110.83167,2265
Indonesia,Medan,3.58333,98.66667,647
Cuba,Santiago De Cuba,20.02083,-75.82667,710
Poland,Koszalin,54.19438,16.17222,2165
Argentina,Mendoza,-32.88946,-68.84582,856
Iran (Islamic Republic of),Shiraz,29.61031,52.53113,936
Paraguay,Asuncion,-25.28646,-57.647,292
Belgium,Mechelen,51.02574,4.47762,2641
Belgium,Paliseul,49.90395,5.13537,2705
India,Gopalpur,19.25861,84.90517,1584
France,Colmar,48.08078,7.35584,3588
Ghana,Bole,44.89334,82.06993,2969
Australia,Watsonia,32.74874,-90.93066,516
El Salvador,Santa Ana,33.74557,-117.86783,1186
United States,Wisconsin,44.268543,-89.616508,3848
Ukraine,Odesa,46.48572,30.74383,2937
Togo,Lome,6.12874,1.22154,260
Indonesia,Timika,-4.61407,136.67679,2271
Belgium,Dison,50.61004,5.8534,2422
Bhutan,Thimphu,27.46609,89.64191,2956
Ireland,Galway,53.27245,-9.05095,948
Senegal,Mbour,14.42196,-16.96375,2926
Cuba,Holguin,20.88722,-76.26306,709
Suriname,Nieuw Nickerie,5.92606,-56.97297,2085
South Sudan,Juba,4.85165,31.58247,1541
Belgium,Heist-Op-Den-Berg,51.07537,4.72827,2508
Belgium,Fernelmont,50.55344,4.98605,2451
Zambia,Kasama,-10.21289,31.18084,1306
Belgium,Deinze,50.98175,3.53096,2410
Oman,Ibra,22.69057,58.53337,1401
China,Taiyuan,37.86944,112.56028,549
Uzbekistan,Tashkent,41.26465,69.21627,115
Dominican Republic,Punta Cana,18.58182,-68.40431,596
Seychelles,Victoria,-20.31944,-40.33778,253
India,Bhagalpur,25.24446,86.97183,1573
Belgium,Onhaye,50.24148,4.84069,2687
Belgium,Oosterzele,50.95261,3.79826,2688
Australia,Katanning,-33.68787,117.5584,424
Sri Lanka,Anuradhapura,8.31223,80.41306,338
United Kingdom of Great Britain and Northern Ireland,Belfast,54.59682,-5.92541,38
Colombia,Valledupar,10.46314,-73.25322,889
Uganda,Gulu,2.77457,32.29899,1937
Germany,Saarbruecken,49.23262,7.00982,1356
Russian Federation,Kostroma,57.76647,40.92686,658
Mauritius,Port Louis,-20.16194,57.49889,1219
Belgium,Raeren,50.6672,6.11535,2723
Saudi Arabia,Yanbu,24.08954,38.0618,1892
Bangladesh,Rajshahi,24.374,88.60114,1166
Ukraine,Lviv,49.83826,24.02324,2935
Belgium,Berlaar,51.1176,4.65835,2339
Belgium,Tinlot,50.47493,5.37755,2800
China,Pingxiang,27.61672,113.85353,1847
Brazil,Belo Horizonte,-19.92083,-43.93778,1062
Belgium,Hasselt,50.93106,5.33781,2503
Spain,Vitoria-Gasteiz,42.84998,-2.67268,1792
Mali,Kayes,14.44776,-11.44393,130
Zimbabwe,Kariba,-16.51667,28.8,966
Belgium,Moorslede,50.8919,3.06117,2665
Papua New Guinea,Port Moresby,-9.47723,147.1509,1246
Lesotho,Quthing,-30.40001,27.70027,1333
United States,Hawaii,21.094318,-157.498337,3810
Australia,Robe,7.12294,40.00412,1253
Spain,Reus,41.15612,1.10687,2193
Indonesia,Makassar,-5.14861,119.43194,2252
Romania,Cluj-Napoca,46.76667,23.6,2091
North Macedonia,Skopje,41.99646,21.43141,199
