Country,City,CityId,Latitude,Longitude
Australia,Morawa,456,-29.210000000,116.010000000
Australia,Moree,457,-29.480000000,149.840000000
Australia,Mornington,1697,-38.240000000,145.070000000
Australia,Mornington Peninsula,458,-38.240000000,145.070000000
Australia,Mortlake,1698,-38.080000000,142.770000000
Australia,Mount Barker,1699,-35.060000000,138.850000000
Australia,Mount Baw Baw,1700,-37.840000000,146.270000000
Australia,Mount Buller,1701,-37.150000000,146.440000000
Australia,Mount Dandenong,1702,-37.830000000,145.350000000
Australia,Mount Field,1818,-42.690000000,146.590000000
Australia,Mount Gambier,1703,-37.820000000,140.780000000
Australia,Mount Hotham,1704,-36.980000000,147.130000000
Australia,Mount Isa,1705,-20.680000000,139.490000000
Australia,Mount Moornapa,1706,-37.750000000,147.140000000
Australia,Mount Nowa Nowa,1707,-37.690000000,148.090000000
Australia,Mount Wellington,1708,-42.900000000,147.240000000
Australia,Mowbray,1709,-41.400000000,147.140000000
Australia,Mudgee,464,-32.600000000,149.600000000
Australia,Murray Bridge,465,-35.120000000,139.270000000
Australia,Naracoorte,466,-36.960000000,140.740000000
Australia,Narrabri,1316,-30.330000000,149.750000000
Australia,Narrogin,467,-32.930000000,117.180000000
Australia,New Norfolk,1710,-42.780000000,147.050000000
Australia,Newcastle,319,-32.920000000,151.800000000
Australia,Newman,468,-23.370000000,119.730000000
Australia,Nhill,1711,-36.330000000,141.640000000
Australia,Nhulunbuy,469,-12.270000000,136.820000000
Australia,Noarlunga,470,-35.160000000,138.510000000
Australia,Norfolk Island,471,-29.040000000,167.940000000
Australia,Normanton,1712,-17.690000000,141.070000000
Australia,Norseman,1252,-32.200000000,121.780000000
Australia,Northam,472,-31.640000000,116.670000000
Australia,Nowra,473,-34.940000000,150.550000000
Australia,Nuriootpa,474,-34.480000000,139.000000000
Australia,Oatlands,1713,-42.300000000,147.370000000
Australia,Onslow,1216,-21.630000000,115.120000000
Australia,Orange,475,-33.380000000,149.120000000
Australia,Orbost,476,-37.690000000,148.460000000
Australia,Orford,1714,-42.550000000,147.880000000
Australia,Ouse,1819,-42.480000000,146.710000000
Australia,Ouyen,1715,-35.070000000,142.320000000
Australia,Paraburdoo,477,-23.170000000,117.750000000
Australia,Parkes,478,-33.140000000,148.160000000
Australia,Parramatta,1313,-33.800000000,151.020000000
Australia,Penguin,1820,-41.110000000,146.070000000
Australia,Penrith,1160,-33.720000000,150.670000000
Australia,Perisher Valley,1161,-36.400000000,148.400000000
Australia,Perth,314,-31.930000000,115.980000000
Australia,Phillip Island,1716,-38.510000000,145.150000000
Australia,Pirlangimpi,1717,-11.400000000,130.420000000
Australia,Point Hicks,1718,-37.800000000,149.270000000
Australia,Port Arthur,1719,-43.140000000,147.850000000
Australia,Port Augusta,479,-32.530000000,137.790000000
Australia,Port Hedland,480,-20.370000000,118.630000000
Australia,Port Lincoln,481,-34.720000000,135.860000000
Australia,Port Macquarie,482,-31.440000000,152.920000000
Australia,Port Pirie,483,-33.170000000,138.010000000
Australia,Portland,1720,-38.340000000,141.600000000
Australia,Prospect,1721,-41.460000000,147.130000000
Australia,Queenstown,1722,-42.080000000,145.550000000
Australia,Ravensthorpe,484,-33.580000000,120.040000000
